Year,State,conf_policia,percep_ausencia_corrupcion_sistjud,percep_conf_jueces,percep_inseguridad,iden_polfed_efectivo,porcentaje_victimas_hogares,porcentaje_victimas_mujeres,tasa_incid_delictiva,tasa_inseg_localidad,tasa_inseg_estado,tasa_inseg_municipio,tasa_prev_delictiva,tasa_prev_delictiva_hombres,tasa_prev_delictiva_mujeres,Number_crimes,Regiones
2017-01-01,0,61.8177956195223,31.930026307084,55.9494179360753,44.8278654763723,407012.0,38.1534197550725,30.9169989126495,39912.1023048502,44827.8654763723,43691.02327367978,42236.7075309722,33875.5088560497,37403.7078531664,30916.9989126494,33548,0
2017-01-01,1,49.0798065523795,31.8759986355721,61.193246081758,43.2581226697259,1215997.0,39.46280894906,36.9849489821517,43921.1703913114,43258.1226697259,58046.09333387962,57866.6366206416,36578.0586535749,36137.6161813314,36984.9489821516,111722,3
2017-01-01,2,57.0866673510295,32.1557809054297,60.0951918737814,36.9632434840722,281409.0,26.7616875266537,22.8979877973106,25689.6359504309,36963.2434840722,60904.61127199822,63107.8636667409,24427.4259251319,26027.9261760513,22897.9877973106,24174,3
2017-01-01,3,54.8834320152252,31.043332473562,61.2599948413722,44.1183391481137,287020.0,28.8197103771695,20.1413633615385,28283.4233707704,44118.3391481138,57568.36550287392,59021.7991516277,22665.6811252674,25284.3116029697,20141.3633615385,2056,6
2017-01-01,4,50.8790618484427,29.3594438968719,58.4108523110443,35.5231013151532,996821.0,20.1081330145364,15.1567089583934,20464.0803031374,35523.1013151532,61066.83506638242,61997.7906724974,15630.971192124,16180.2031687185,15156.7089583933,25364,7
2017-01-01,5,47.4782783894942,32.5080067501213,60.2378175142398,32.2612018007253,814939.0,28.4810338921399,24.4931145139972,28857.4327299674,32261.2018007253,74198.14027699055,63484.9950684699,24953.7824662413,25455.4871213797,24493.1145139972,68819,3
2017-01-01,6,33.6294871827773,13.3881758275991,34.3326449758698,63.2750806436427,2214651.0,52.7903757220583,40.3009068381134,68954.3088261646,63275.0806436427,85673.60436163694,76814.956335831,43069.0190616484,46342.9361656736,40300.9068381133,203470,1
2017-01-01,7,55.3495578949926,35.6074667791605,59.6870385994516,27.9262637105589,880546.0,24.8598128620511,18.5423787474947,25298.6693969113,27926.2637105589,56420.14836115697,44556.748118024,20978.4875892194,23770.1125304933,18542.3787474946,56311,2
2017-01-01,8,60.3785674572603,37.7005087171188,61.32700995707,45.0646023677591,242814.0,26.6409078651288,21.2369989692877,27074.4678831866,45064.6023677591,74454.68595723715,69000.8718865662,22151.8891238246,23169.8612559147,21236.9989692876,24425,4
2017-01-01,9,55.4107978416124,33.3102364610499,59.7661578080159,30.9018887197734,434209.0,22.4876483575737,17.1119067731531,22565.8965453599,30901.8887197734,57439.7505009833,47511.2880318865,18208.6709954531,19417.8113601568,17111.906773153,34851,3
2017-01-01,10,63.2325197687119,33.1388376444285,59.5135814585734,50.9069928623526,1297586.0,34.5205590170207,27.5124763988711,29231.1666196055,50906.9928623526,75205.68233244361,77496.1419173103,27858.578095876,28269.173830378,27512.476398871,117857,0
2017-01-01,11,54.1551342423639,25.5474359383476,62.9641212198572,36.2042854023532,851445.0,37.2262235417109,27.6928222346491,45005.8921670081,36204.2854023532,83050.70728348619,75812.1168707907,30444.9747629406,33817.1697870248,27692.822234649,32799,7
2017-01-01,12,53.8326355975313,25.7632940035558,58.1380313560691,42.7859440240167,693460.0,23.5871134163453,16.3696011014041,22134.5883980233,42785.9440240167,55060.25848018549,56469.6310012983,19027.6699946521,22381.0324915657,16369.6011014041,43963,5
2017-01-01,13,61.3995489571839,24.0263317200876,52.1698313540171,42.1560689567834,2561252.0,38.433127003667,28.9536916630063,43022.8968505909,42156.0689567834,65707.43787608208,57132.8796629739,31049.5965167657,33409.5334444313,28953.6916630062,159515,4
2017-01-01,14,51.909212164061,28.5438556042291,53.7068388173424,33.7892345886329,1070874.0,22.9429822315726,18.9527130909093,22624.4506559043,33789.2345886329,77646.58550237895,60892.1333872355,19784.8180921034,20757.8669850613,18952.7130909092,41836,4
2017-01-01,15,41.9965878175865,18.6768779942961,50.0516109195529,53.5928233908435,576574.0,38.9139401153707,29.6980188497788,48527.7666469308,53592.8233908435,86331.21647169643,76954.0557996204,31841.8797854149,34061.3821751271,29698.0188497788,44329,1
2017-01-01,16,59.7745095702333,43.0142723539218,69.6387183344854,24.8104349377034,428225.0,29.1713420974068,25.3299083415788,33105.0931867719,24810.4349377034,58640.90474927659,48061.5197591215,24983.3786540153,24595.4313166305,25329.9083415788,3220,4
2017-01-01,17,71.6292362028524,35.9021218732355,67.5594949734557,40.1110510404484,1874307.0,34.9365206262728,29.0376574244611,32407.46569978,40111.0510404484,71057.93631529008,55476.2561511133,30044.6238980074,31111.575060985,29037.6574244611,83974,2
2017-01-01,18,59.3503051457436,25.7310016491169,61.0493744427675,34.660649989498,995917.0,22.2332237383015,15.2074719520224,22151.5319778509,34660.649989498,74112.57873717052,56136.3977823905,17735.3457008457,20557.6949498823,15207.4719520224,31938,7
2017-01-01,19,52.5289576262143,29.1521587999792,56.1380165102873,48.510407429063,1095076.0,39.3884772053934,29.7468725223308,42343.1319956989,48510.407429063,68094.21145105091,63870.0231977533,31833.9136452267,34348.725269496,29746.8725223307,53800,5
2017-01-01,20,62.2833114195866,26.0069769336549,56.9526156094695,45.2324581755136,587764.0,34.1336019193964,26.9609048593692,35395.1027630229,45232.4581755136,54435.75161776502,52299.2586517606,28229.1486759414,29836.6986790111,26960.9048593691,53154,0
